Date,Open,High,Low,Close,Adj Close,Volume
2025-07-01,220.1508026123047,225.1460876464844,219.78321838378903,225.04241943359375,221.44464111328125,4160605
2025-07-02,224.4674835205078,226.6918029785156,223.2987823486328,225.50424194335935,221.89906311035156,4353601
2025-07-03,226.0980224609375,227.4269561767578,225.62677001953125,226.5787048339844,222.9563446044922,2019295
2025-07-07,226.0791778564453,227.04995727539065,224.2601318359375,225.5890655517578,221.9825439453125,2875947
2025-07-08,225.52308654785156,227.7568359375,225.28746032714844,226.01319885253903,222.39990234375,2936636
2025-07-09,226.8614501953125,227.82281494140625,223.1102752685547,224.9952850341797,221.39825439453125,2309797
2025-07-10,224.14703369140625,225.61734008789065,222.912353515625,223.1573944091797,219.5897521972656,2402210
2025-07-11,220.8953857421875,222.47879028320312,220.54666137695312,222.36569213867188,218.81069946289065,2564649
2025-07-14,222.9029235839844,225.0518341064453,221.1404266357422,224.37322998046875,220.78614807128903,3088783
2025-07-15,223.55325317382812,223.94911193847656,221.66824340820312,221.77191162109375,218.22642517089844,2498973
2025-07-16,221.92271423339844,223.37417602539065,219.6135711669922,223.26107788085935,219.6917724609375,2997007
2025-07-17,223.006591796875,224.96701049804688,222.5918884277344,224.6654052734375,221.0736541748047,2659503
2025-07-18,225.9377899169922,225.9377899169922,221.71536254882812,222.9406280517578,219.37644958496097,3834242
2025-07-21,222.9406280517578,224.6465606689453,221.6588134765625,221.6965179443359,218.1522216796875,3070534
2025-07-22,221.62110900878903,223.44015502929688,220.8576812744141,222.9783172607422,219.4135284423828,3617055
2025-07-23,223.9396820068359,226.682373046875,223.59095764160156,225.513671875,221.90835571289065,4062675
2025-07-24,213.1197052001953,217.33270263671875,210.93307495117188,211.5739898681641,208.1915283203125,11877152
2025-07-25,213.3081970214844,213.5720977783203,209.50990295410156,211.3477783203125,207.96893310546875,6333215
2025-07-28,212.1866149902344,214.6559906005859,211.80018615722656,212.13949584960935,208.74798583984375,5117309
2025-07-29,212.71441650390625,213.006591796875,208.520263671875,208.97267150878903,205.63180541992188,3994135
2025-07-30,209.60414123535156,211.4891662597656,208.5014190673828,209.3873748779297,206.03985595703125,5035612
2025-07-31,208.8218688964844,210.8671112060547,208.57681274414065,209.5664520263672,206.2160797119141,3241143
2025-08-01,208.64279174804688,208.8972625732422,204.67483520507812,205.19320678710935,201.91275024414065,4208987
2025-08-04,205.7681427001953,208.114990234375,205.27804565429688,208.09613037109375,204.76925659179688,3662890
2025-08-05,207.3704071044922,208.64279174804688,206.8897247314453,208.35061645507812,205.01968383789065,2631068
2025-08-06,208.9066925048828,209.1423187255859,206.40904235839844,206.62582397460935,203.3224639892578,2963267
2025-08-07,207.6154632568359,207.8322296142578,203.2139434814453,204.128173828125,200.86474609375,3079553
2025-08-08,204.3072509765625,205.1837921142578,203.58152770996097,203.8737030029297,200.6143341064453,3246130
2025-08-11,203.8737030029297,204.1376037597656,201.885009765625,204.0056610107422,200.74420166015625,2558389
2025-08-12,204.1847381591797,204.78793334960935,203.1573944091797,204.5334625244141,201.2635498046875,4615244
2025-08-13,204.8727569580078,207.2949981689453,204.72195434570312,207.10650634765625,203.7954559326172,3849414
2025-08-14,206.4938812255859,206.4938812255859,204.78793334960935,205.6550445556641,202.36721801757812,3153716
2025-08-15,205.4853973388672,205.4853973388672,203.37417602539065,204.3072509765625,202.0875244140625,2908201
2025-08-18,204.26956176757812,204.91046142578125,203.5061187744141,203.95852661132812,201.7425842285156,4364105
2025-08-19,203.8265838623047,205.62677001953125,203.08200073242188,204.2789764404297,202.05955505371097,2521679
2025-08-20,204.58058166503903,206.8991546630859,203.78887939453125,204.52403259277344,202.3019561767578,4309252
2025-08-21,204.04335021972656,205.2497711181641,202.63902282714844,204.91989135742188,202.69351196289065,2851331
2025-08-22,206.93685913085935,210.2544708251953,206.10745239257812,210.0188446044922,207.737060546875,3483051
2025-08-25,208.99151611328125,209.6324157714844,207.82281494140625,207.92648315429688,205.6674346923828,2394783
2025-08-26,207.5589141845703,210.0,207.2007598876953,209.76437377929688,207.4853515625,4304477
2025-08-27,208.87841796875,209.91517639160156,208.00189208984375,208.5296936035156,206.2640838623047,2240514
2025-08-28,208.9538116455078,209.1423187255859,207.1442108154297,208.6239471435547,206.3573303222656,2758918
2025-08-29,208.3600311279297,208.8595733642578,206.5787048339844,206.8802947998047,204.6326141357422,2112557
2025-09-02,204.55230712890625,205.5796356201172,203.0160217285156,205.08953857421875,202.86131286621097,3450372
2025-09-03,204.6936798095703,204.7408142089844,200.3393096923828,201.6965179443359,199.50515747070312,3736418
2025-09-04,201.44203186035156,203.23280334472656,199.90574645996097,202.78982543945312,200.58657836914065,4939486
2025-09-05,202.6201629638672,203.8548583984375,201.1027374267578,201.93214416503903,199.73822021484375,4355299
2025-09-08,202.46937561035156,202.8275146484375,200.32044982910156,202.4033966064453,200.2043609619141,4842192
2025-09-09,202.601318359375,202.9311981201172,199.75494384765625,201.885009765625,199.69158935546875,3124751
2025-09-10,201.66824340820312,202.0169677734375,199.2271423339844,199.52874755859375,197.3609313964844,4546597
2025-09-11,199.7360992431641,203.7323303222656,199.3119659423828,202.9311981201172,200.72642517089844,5920911
2025-09-12,201.74363708496097,202.2431640625,198.81243896484375,199.30255126953125,197.13719177246097,3362309
2025-09-15,199.58529663085935,200.6880340576172,198.57681274414065,199.5664520263672,197.3982391357422,4022994
2025-09-16,199.50990295410156,201.05560302734375,198.4919891357422,198.8218688964844,196.6617431640625,3543528
2025-09-17,199.50047302246097,201.36663818359375,198.162109375,199.50990295410156,197.34230041503903,5742450
2025-09-18,198.9538116455078,201.13101196289065,197.97361755371097,198.114990234375,195.96253967285156,4725270
2025-09-19,198.96324157714844,198.96324157714844,195.49481201171875,197.33270263671875,195.18875122070312,11677472
2025-09-22,196.74835205078125,198.43544006347656,195.4099884033203,196.9839782714844,194.84381103515625,5098529
2025-09-23,197.398681640625,198.88784790039065,196.80490112304688,197.27615356445312,195.13282775878903,6615653
2025-09-24,197.2667236328125,198.1903839111328,196.2488250732422,196.6069793701172,194.47091674804688,6534487
2025-09-25,196.8897247314453,197.34213256835935,195.3817138671875,195.7587127685547,193.63186645507812,4322514
2025-09-26,196.43731689453125,197.03109741210935,195.42884826660156,196.22055053710935,194.08868408203125,3768248
2025-09-29,197.82281494140625,198.07728576660156,192.6201629638672,197.2478790283203,195.1048583984375,5981918
2025-09-30,196.93685913085935,198.97267150878903,196.4655914306641,198.39773559570312,196.24220275878903,4437420
2025-10-01,198.39773559570312,200.5560760498047,197.91705322265625,198.09613037109375,195.94387817382812,4124319
2025-10-02,198.39773559570312,200.7728576660156,198.0113067626953,198.87841796875,196.7176818847656,4570364
2025-10-03,198.8501434326172,199.8397674560547,196.43731689453125,197.03109741210935,194.8904266357422,4590417
2025-10-06,197.92648315429688,198.39773559570312,195.85296630859375,196.9839782714844,194.84381103515625,5471895
2025-10-07,196.63525390625,197.6248779296875,195.8623962402344,196.9651336669922,194.82518005371097,4109677
2025-10-08,196.8331756591797,197.8133850097656,195.9472198486328,197.7851104736328,195.63624572753903,2985760
