Date,Open,High,Low,Close,Adj Close,Volume
2025-07-01,386.5899963378906,393.8900146484375,384.25,390.9200134277344,386.7345275878906,2393600
2025-07-02,392.7000122070313,398.6400146484375,389.4200134277344,398.4299926757813,394.16412353515625,2713700
2025-07-03,398.9200134277344,402.4200134277344,397.5899963378906,397.8599853515625,393.6002197265625,1737800
2025-07-07,398.05999755859375,398.05999755859375,388.0899963378906,391.510009765625,387.3181762695313,3012900
2025-07-08,392.4299926757813,395.9500122070313,391.5199890136719,394.2900085449219,390.0684509277344,2003600
2025-07-09,399.7200012207031,403.760009765625,396.8800048828125,402.1799926757813,397.8739318847656,3101000
2025-07-10,404.6600036621094,412.0,403.44000244140625,408.3299865722656,403.9580993652344,3382800
2025-07-11,405.4500122070313,406.8800048828125,401.7000122070313,405.9200134277344,401.5739135742187,2072600
2025-07-14,404.0,406.7900085449219,402.2300109863281,405.7699890136719,401.4255065917969,2497500
2025-07-15,406.260009765625,408.75,403.0199890136719,404.6400146484375,400.30767822265625,2167000
2025-07-16,405.0,413.0700073242187,403.3200073242187,412.8800048828125,408.4594421386719,3242100
2025-07-17,414.8599853515625,419.8999938964844,412.8800048828125,418.0700073242187,413.5938415527344,2444700
2025-07-18,418.7000122070313,419.8999938964844,412.1600036621094,413.7099914550781,409.280517578125,2526600
2025-07-21,417.2200012207031,417.4299926757813,409.8399963378906,410.0700073242187,407.1656188964844,1833300
2025-07-22,410.3800048828125,418.5199890136719,410.3800048828125,417.19000244140625,414.2351684570313,2185000
2025-07-23,420.0,428.1600036621094,419.4500122070313,427.5899963378906,424.5614929199219,3254900
2025-07-24,427.0400085449219,430.1600036621094,424.5,429.5199890136719,426.4778137207031,2511400
2025-07-25,429.69000244140625,434.8699951171875,428.6199951171875,433.75,430.6778564453125,2218400
2025-07-28,431.25,436.3999938964844,431.1199951171875,432.94000244140625,429.8736267089844,2550300
2025-07-29,434.5499877929687,435.2099914550781,424.7999877929687,430.0499877929687,427.0040893554687,2383700
2025-07-30,430.0,436.8299865722656,426.4299926757813,434.1199951171875,431.0452270507813,3172600
2025-07-31,434.1300048828125,441.1499938964844,433.6799926757813,438.0199890136719,434.9176025390625,4116400
2025-08-01,426.9700012207031,430.8599853515625,421.2900085449219,428.69000244140625,425.6536865234375,4027300
2025-08-04,430.8599853515625,436.8900146484375,429.989990234375,433.7000122070313,430.6282348632813,4059500
2025-08-05,427.6499938964844,439.739990234375,426.5700073242187,434.2300109863281,431.1544799804687,4329900
2025-08-06,433.3399963378906,434.7099914550781,425.5400085449219,427.7200012207031,424.6905822753906,2630800
2025-08-07,426.8399963378906,427.3299865722656,409.9599914550781,417.1199951171875,414.1656494140625,4261100
2025-08-08,420.5199890136719,421.8999938964844,415.760009765625,416.5199890136719,413.56988525390625,2965200
2025-08-11,416.9800109863281,418.2900085449219,406.7999877929687,408.5400085449219,405.64642333984375,3416000
2025-08-12,411.0,418.19000244140625,409.6400146484375,412.7099914550781,409.786865234375,2765100
2025-08-13,415.1799926757813,415.5400085449219,410.5400085449219,413.7000122070313,410.7698974609375,4403000
2025-08-14,409.2999877929687,419.239990234375,407.0,417.5,414.54296875,3676000
2025-08-15,415.7200012207031,416.55999755859375,407.1000061035156,407.7900085449219,404.9017333984375,3107400
2025-08-18,407.0,413.1400146484375,405.4599914550781,412.6400146484375,409.7174072265625,3185200
2025-08-19,419.30999755859375,421.8800048828125,414.05999755859375,416.0899963378906,413.1429443359375,3543600
2025-08-20,414.7999877929687,421.9200134277344,412.0499877929687,420.5899963378906,417.611083984375,4060200
2025-08-21,419.9299926757813,420.5799865722656,414.1600036621094,417.8900146484375,414.9302062988281,2504300
