Date,Open,High,Low,Close,Adj Close,Volume
2025-07-01,290.8900146484375,291.1300048828125,286.5899963378906,290.4100036621094,284.8698425292969,9338300
2025-07-02,292.0400085449219,292.82000732421875,289.70001220703125,292.0,286.42950439453125,8158700
2025-07-03,292.1499938964844,296.3999938964844,291.2099914550781,296.0,291.75201416015625,6541600
2025-07-07,295.25,296.0400085449219,290.0799865722656,291.9700012207031,287.77984619140625,8825700
2025-07-08,289.2699890136719,289.70001220703125,280.30999755859375,282.7799987792969,278.72174072265625,15440900
2025-07-09,287.17999267578125,287.20001220703125,282.4800109863281,283.1600036621094,279.0962829589844,11273800
2025-07-10,283.0,288.30999755859375,283.0,288.19000244140625,284.0541076660156,8410900
2025-07-11,285.5199890136719,287.3800048828125,283.6499938964844,286.8599853515625,282.7431640625,7384700
2025-07-14,287.07000732421875,289.29998779296875,285.260009765625,288.70001220703125,284.5567932128906,9079900
2025-07-15,288.0,291.95001220703125,285.4800109863281,286.54998779296875,282.4376220703125,12526100
2025-07-16,288.3999938964844,290.7300109863281,283.010009765625,285.82000732421875,281.7181091308594,9979800
2025-07-17,283.44000244140625,290.29998779296875,283.44000244140625,289.8999938964844,285.73956298828125,8509500
2025-07-18,289.5199890136719,292.5,288.2300109863281,291.2699890136719,287.08990478515625,12217000
2025-07-21,291.0,294.17999267578125,290.5799865722656,290.9700012207031,286.794189453125,7898100
2025-07-22,291.5,293.6300048828125,289.17999267578125,291.42999267578125,287.2475891113281,6717500
2025-07-23,292.8399963378906,296.989990234375,292.54998779296875,296.760009765625,292.5011291503906,7083500
2025-07-24,297.4200134277344,299.5899963378906,296.20001220703125,296.54998779296875,292.29412841796875,7001200
2025-07-25,296.70001220703125,298.8999938964844,295.9599914550781,298.6199951171875,294.33441162109375,5918500
2025-07-28,297.6600036621094,299.42999267578125,296.82000732421875,298.2799987792969,293.9992980957031,5840400
2025-07-29,300.0,301.2900085449219,296.20001220703125,297.0400085449219,292.7771301269531,7635700
2025-07-30,297.4200134277344,300.6099853515625,297.3800048828125,299.6300048828125,295.3299255371094,8061700
2025-07-31,299.1400146484375,300.9800109863281,295.5,296.239990234375,291.9885559082031,14749700
2025-08-01,290.3999938964844,291.79998779296875,284.239990234375,289.3699951171875,285.2171936035156,12007100
2025-08-04,290.260009765625,294.32000732421875,290.260009765625,294.260009765625,290.0369873046875,6649500
2025-08-05,294.69000244140625,295.7900085449219,287.239990234375,291.3699951171875,287.1884460449219,7182300
2025-08-06,292.29998779296875,293.2900085449219,290.1600036621094,291.3500061035156,287.16876220703125,6330200
2025-08-07,292.94000244140625,293.4599914550781,286.4100036621094,286.94000244140625,282.8220520019531,8057100
2025-08-08,288.9800109863281,291.2300109863281,284.7099914550781,288.760009765625,284.61590576171875,6634100
2025-08-11,289.3999938964844,291.32000732421875,288.7799987792969,289.55999755859375,285.4044189453125,5510100
2025-08-12,291.5,294.75,290.3399963378906,292.8500061035156,288.6472473144531,8570900
2025-08-13,293.95001220703125,294.54998779296875,287.1600036621094,290.5299987792969,286.36053466796875,8420400
2025-08-14,290.5799865722656,294.20001220703125,289.6400146484375,294.1600036621094,289.9384460449219,6322400
2025-08-15,294.8399963378906,295.5,289.82000732421875,290.489990234375,286.3210754394531,7340500
2025-08-18,290.0,291.8999938964844,288.4100036621094,291.5299987792969,287.3461608886719,5386900
2025-08-19,290.8299865722656,292.4800109863281,289.5299987792969,290.6600036621094,286.4886779785156,6031500
2025-08-20,290.80999755859375,293.3299865722656,287.2699890136719,292.239990234375,288.04595947265625,7374200
2025-08-21,291.94000244140625,292.7699890136719,289.4700012207031,291.4700012207031,287.28704833984375,6624000
2025-08-22,293.20001220703125,297.1600036621094,290.1300048828125,296.239990234375,291.9885559082031,8552800
2025-08-25,296.239990234375,297.3500061035156,294.1400146484375,294.8999938964844,290.6678161621094,5856300
2025-08-26,294.1600036621094,298.739990234375,293.5,298.57000732421875,294.2851257324219,6714700
2025-08-27,297.25,301.07000732421875,297.0400085449219,299.2799987792969,294.9849548339844,6056500
2025-08-28,300.0199890136719,301.239990234375,298.70001220703125,301.07000732421875,296.749267578125,6410500
2025-08-29,302.0400085449219,302.95001220703125,299.7300109863281,301.4200134277344,297.09423828125,6796400
2025-09-02,300.260009765625,300.4599914550781,294.5,299.70001220703125,295.3989562988281,7221900
2025-09-03,300.57000732421875,300.57000732421875,296.3800048828125,299.510009765625,295.2116394042969,6316900
2025-09-04,300.0,304.42999267578125,298.2799987792969,303.82000732421875,299.4598083496094,6605800
2025-09-05,303.6499938964844,305.1499938964844,294.30999755859375,294.3800048828125,290.1552734375,9837700
2025-09-08,294.8900146484375,296.4599914550781,291.44000244140625,292.9100036621094,288.70635986328125,8188500
